f,iid,cd,dn,cs,dt
"false","0","08679830","","Нажаль, Нічого не знайдено.","2017-02-14T10:10:58.9680000+03:00"
"false","0","08679942","","Нажаль, Нічого не знайдено.","2017-02-14T10:10:59.3490000+03:00"
"false","0","08679847","","Нажаль, Нічого не знайдено.","2017-02-14T10:10:59.6830000+03:00"
"false","0","38271951","","Нажаль, Нічого не знайдено.","2017-02-14T10:11:00.0210000+03:00"
"false","0","23246991","","Нажаль, Нічого не знайдено.","2017-02-14T10:11:00.3710000+03:00"
"false","0","23182908","","Нажаль, Нічого не знайдено.","2017-02-14T10:11:00.7070000+03:00"
"false","0","23369086","","Нажаль, Нічого не знайдено.","2017-02-14T10:11:01.0710000+03:00"
"true","0","23379396","Державне підприємство "Головний навчально-методичний центр Держгірпромнагляду України"","кабінет не створено","2017-02-14T10:11:01.4080000+03:00"
"false","0","24908201","","Нажаль, Нічого не знайдено.","2017-02-14T10:11:01.7740000+03:00"
"false","0","38015558","","Нажаль, Нічого не знайдено.","2017-02-14T10:11:02.1270000+03:00"
"false","0","37986818","","Нажаль, Нічого не знайдено.","2017-02-14T10:11:02.4880000+03:00"
"false","0","22560691","","Нажаль, Нічого не знайдено.","2017-02-14T10:11:02.7800000+03:00"
"true","346794865","35786786","Миколаївський експертно-технічний центр","зареєстровано","2017-02-14T10:11:03.0800000+03:00"
"false","0","21727350","","Нажаль, Нічого не знайдено.","2017-02-14T10:11:03.4210000+03:00"
"false","0","13417687","","Нажаль, Нічого не знайдено.","2017-02-14T10:11:03.7050000+03:00"
"false","0","20950040","","Нажаль, Нічого не знайдено.","2017-02-14T10:11:03.9900000+03:00"
"false","0","20774790","","Нажаль, Нічого не знайдено.","2017-02-14T10:11:04.2720000+03:00"
"false","0","21224850","","Нажаль, Нічого не знайдено.","2017-02-14T10:11:04.5580000+03:00"
"false","0","21324155","","Нажаль, Нічого не знайдено.","2017-02-14T10:11:04.8480000+03:00"
"true","13681895","20635031","Державне підприємство «Кіровоградський експертно – технічний центр Держпраці»","зареєстровано","2017-02-14T10:11:05.1360000+03:00"
"true","375678529","31223828","ДЕРЖАВНЕ ПІДПРИЄМСТВО "КРИВОРІЗЬКИЙ ЕКСПЕРТНО-ТЕХНІЧНИЙ ЦЕНТР ДЕРЖПРАЦІ"","зареєстровано","2017-02-14T10:11:05.4350000+03:00"
"true","428248267","30175035","ДЕРЖАВНЕ ПІДПРИЄМСТВО "СУМСЬКИЙ ЕКСПЕРТНО-ТЕХНІЧНИЙ ЦЕНТР ДЕРЖПРАЦІ"","зареєстровано","2017-02-14T10:11:05.7350000+03:00"
"false","0","20538693","","Нажаль, Нічого не знайдено.","2017-02-14T10:11:06.0240000+03:00"
"false","0","21601181","","Нажаль, Нічого не знайдено.","2017-02-14T10:11:06.3210000+03:00"
"true","323776360","21750544","Державне підприємство "Волинський експертно-технічний центр Держпраці"","зареєстровано","2017-02-14T10:11:06.6110000+03:00"
"false","0","21851104","","Нажаль, Нічого не знайдено.","2017-02-14T10:11:06.9130000+03:00"
"false","0","22306716","","Нажаль, Нічого не знайдено.","2017-02-14T10:11:07.2040000+03:00"
"false","0","23510933","","Нажаль, Нічого не знайдено.","2017-02-14T10:11:07.5050000+03:00"
