edrpou,org_id,reg_date,full_name,address,head,r_code,region,activity,bankruptcy
05400916,NA,NA,"ДВАТ ""ГЗФ ""ЛУГАНСЬКА""","91493 ЛУГАНСЬКА ОБЛ., ЛУГАНСЬК, СМТ ЮВІЛЕЙНЕ",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-09,ОРДЛО,Виробництво продуктів нафтоперероблення,зареєстровано
05400922,NA,NA,"ПАТ ""АНТРАЦИТІВСЬКЕ УПРАВЛІННЯ ПО РЕМОНТУ ТА НАЛАГОДЖЕННЮ ГІРНИЧОШАХТНОГО УСТАТКУВАННЯ""","94632 ЛУГАНСЬКА ОБЛ., М.АНТРАЦИТ, СМТ КРІПЕНСЬКИЙ",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-09,ОРДЛО,Ремонт і технічне обслуговування машин і устатковання промислового призначення,зареєстровано
05401169,NA,NA,"ДП ВИНЗАВОД ""АЛКО - ПРИМА""","93800 ЛУГАНСЬКА ОБЛ., М.КІРОВСЬК, ВУЛИЦЯ ВИНОГРАДНА, 1",МІНІСТЕРСТВО АГРАРНОЇ ПОЛІТИКИ ТА ПРОДОВОЛЬСТВА УКРАЇНИ,UA-09,ОРДЛО,Виробництво виноградних вин,зареєстровано
05402737,NA,NA,"ДХК ""ОЛЕКСАНДРІЯВУГІЛЛЯ""","28000 КІРОВОГРАДСЬКА ОБЛ., М.ОЛЕКСАНДРІЯ, ПРОСПЕКТ ЛЕНІНА, 77",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-35,Кіровоградська,NA,в стані припинення
05405575,NA,NA,"ДП ""ХАРКІВСЬКИЙ ЕЛЕКТРОМЕХАНІЧНИЙ ЗАВОД""","61037 М.ХАРКІВ, МОСКОВСЬКИЙ Р-Н, ПРОСПЕКТ МОСКОВСЬКИЙ, 199",МІНІСТЕРСТВО ЕКОНОМІЧНОГО РОЗВИТКУ І ТОРГІВЛІ УКРАЇНИ,UA-63,Харківська,"Виробництво електродвигунів, генераторів і трансформаторів",зареєстровано
05410381,NA,NA,ДП ДОСЛІДНИЙ ЗАВОД ІНСТИТУТУ ІМПУЛЬСНИХ ПРОЦЕСІВ ТА ТЕХНОЛОГІЙ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ,"54003 М.МИКОЛАЇВ, ЛЕНІНСЬКИЙ Р-Н, ВУЛИЦЯ ЧКАЛОВА, 197",НАЦІОНАЛЬНА АКАДЕМІЯ НАУК УКРАЇНИ,UA-48,Миколаївська,Виробництво машин і устатковання для металургії,зареєстровано
05410777,200326920,2016-07-31,"ДП ""ДНІПРОДІПРОШАХТ""","49600 М.ДНІПРОПЕТРОВСЬК, БАБУШКІНСЬКИЙ Р-Н, ВУЛИЦЯ МИРОНОВА, 15",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-12,Дніпропетровська,Дослідження й експериментальні розробки у сфері інших природничих і технічних наук,зареєстровано
05411378,NA,NA,"ДП ""СПЕЦІАЛЬНЕ КОНСТРУКТОРСЬКО-ТЕХНОЛОГІЧНЕ БЮРО ІНСТИТУТУ ГЕОТЕХНІЧНОЇ МЕХАНІКИ ІМ. М.С.ПОЛЯКОВА НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ""","49000 М.ДНІПРОПЕТРОВСЬК, ЖОВТНЕВИЙ Р-Н, ВУЛИЦЯ СІМФЕРОПОЛЬСЬКА, 2 А",НАЦІОНАЛЬНА АКАДЕМІЯ НАУК УКРАЇНИ,UA-12,Дніпропетровська,Дослідження й експериментальні розробки у сфері інших природничих і технічних наук,зареєстровано
05414657,NA,NA,"ДП ""СІМФЕРОПОЛЬСЬКИЙ ВИНОРОБНИЙ ЗАВОД""","95492 М.СІМФЕРОПОЛЬ, ЗАЛІЗНИЧНИЙ Р-Н, ШОСЕ МОСКОВСЬКЕ, 9 КМ.",МІНІСТЕРСТВО АГРАРНОЇ ПОЛІТИКИ ТА ПРОДОВОЛЬСТВА УКРАЇНИ,UA-43,АР Крим,Виробництво виноградних вин,зареєстровано
05415823,339365453,2016-11-30,"ДУ ""УКРАЇНСЬКИЙ ЦЕНТР ІНФОРМАЦІЙНИХ ТЕХНОЛОГІЙ ТА НАЦІОНАЛЬНОГО РЕЄСТРУ"" МІНІСТЕРСТВА ОХОРОНИ ЗДОРОВ'Я УКРАЇНИ","3115 М.КИЇВ, СВЯТОШИНСЬКИЙ Р-Н, ВУЛИЦЯ КРАМСЬКОГО, 21-А",МІНІСТЕРСТВО ОХОРОНИ ЗДОРОВ'Я УКРАЇНИ,UA-30,Київ,Дослідження й експериментальні розробки у сфері інших природничих і технічних наук,зареєстровано
05416308,NA,NA,"ДП ГРОМАДСЬКОГО ХАРЧУВАННЯ ""СТУДЕНТСЬКА ЇДАЛЬНЯ ДЕРЖАВНОЇ АКАДЕМІЇ ЛЕГКОЇ ПРОМИСЛОВОСТІ УКРАЇНИ №313""","1011 М.КИЇВ, ПЕЧЕРСЬКИЙ Р-Н, ВУЛИЦЯ НЕМИРОВИЧА-ДАНЧЕНКА, 2",МІНІСТЕРСТВО ОСВІТИ І НАУКИ УКРАЇНИ,UA-30,Київ,Діяльність їдалень,"зареєстровано, свідоцтво про державну реєстрацію недійсне"
05416337,10247343,2016-03-31,"ДП ""ГОЛОВНИЙ ПРОЕКТНО-ВИРОБНИЧИЙ І СЕРВІСНИЙ ЦЕНТР КОМП'ЮТЕРНИХ ФІНАНСОВИХ ТЕХНОЛОГІЙ"" МІНІСТЕРСТВА ФІНАНСІВ УКРАЇНИ","4119 М.КИЇВ, ШЕВЧЕНКІВСЬКИЙ Р-Н, ВУЛИЦЯ ДЕГТЯРІВСЬКА, 38-44",МІНІСТЕРСТВО ФІНАНСІВ УКРАЇНИ,UA-30,Київ,Консультування з питань інформатизації,зареєстровано
05416389,NA,NA,"ДП ""УПРАВЛІННЯ АДМІНІСТРАТИВНИМИ ТА СЛУЖБОВИМИ БУДИНКАМИ""","1133 М.КИЇВ, ПЕЧЕРСЬКИЙ Р-Н, БУЛЬВАР ЛЕСІ УКРАЇНКИ, 26","МІНІСТЕРСТВО РЕГІОНАЛЬНОГО РОЗВИТКУ, БУДІВНИЦТВА ТА ЖИТЛОВО-КОМУНАЛЬНОГО ГОСПОДАРСТВА УКРАЇНИ",UA-30,Київ,Допоміжна діяльність у сфері державного управління,в стані припинення
05416892,NA,NA,"ДП - УКРАЇНСЬКИЙ ДЕРЖАВНИЙ ІНСТИТУТ З ПРОЕКТУВАННЯ ОБ'ЄКТІВ ДОРОЖНЬОГО ГОСПОДАРСТВА ""УКРДІПРОДОР""","3037 М.КИЇВ, СОЛОМ'ЯНСЬКИЙ Р-Н, ПРОСПЕКТ ПОВІТРОФЛОТСЬКИЙ, 39/1",ДЕРЖАВНЕ АГЕНТСТВО АВТОМОБІЛЬНИХ ДОРІГ УКРАЇНИ,UA-30,Київ,Діяльність у сфері архітектури,зареєстровано
05417392,NA,NA,"ДП ""СПЕЦІАЛЬНЕ КОНСТРУКТОРСЬКО-ТЕХНОЛОГІЧНЕ БЮРО ІНСТИТУТУ ПРОБЛЕМ МІЦНОСТІ ІМ. Г.С. ПИСАРЕНКА НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ""","1014 М.КИЇВ, ПЕЧЕРСЬКИЙ Р-Н, ВУЛИЦЯ ТИМІРЯЗЄВСЬКА, 2",НАЦІОНАЛЬНА АКАДЕМІЯ НАУК УКРАЇНИ,UA-30,Київ,Дослідження й експериментальні розробки у сфері інших природничих і технічних наук,зареєстровано
05417408,NA,NA,ДП СПЕЦІАЛЬНЕ КОНСТРУКТОРСЬКО-ТЕХНОЛОГІЧНЕ БЮРО З ДОСЛІДНИМ ВИРОБНИЦТВОМ ІНСТИТУТУ ФІЗИКИ НАПІВПРОВІДНИКІВ НАН УКРАЇНИ,"3028 М.КИЇВ, ГОЛОСІЇВСЬКИЙ Р-Н, ВУЛИЦЯ ЛИСОГІРСЬКА, 4",НАЦІОНАЛЬНА АКАДЕМІЯ НАУК УКРАЇНИ,UA-30,Київ,Дослідження й експериментальні розробки у сфері інших природничих і технічних наук,зареєстровано
05417443,NA,NA,СПЕЦІАЛЬНЕ КОНСТРУКТОРСЬКО-ТЕХНОЛОГІЧНЕ БЮРО З ДОСЛІДНИМ ВИРОБНИЦТВОМ СКЛОПЛАСТИКІВ ІНСТИТУТУ МЕХАНІКИ НАН УКРАЇНИ,"3164 М.КИЇВ, СВЯТОШИНСЬКИЙ Р-Н, ВУЛИЦЯ НАУМОВА, 17",НАЦІОНАЛЬНА АКАДЕМІЯ НАУК УКРАЇНИ,UA-30,Київ,Дослідження й експериментальні розробки у сфері інших природничих і технічних наук,в стані припинення
05417457,NA,NA,"ДП ""ДОСЛІДНЕ КОНСТРУКТОРСЬКО-ТЕХНОЛОГІЧНЕ БЮРО ІНСТИТУТУ ЕЛЕКТРОЗВАРЮВАННЯ ІМ. Є.О.ПАТОНА НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ""","3150 М.КИЇВ, ГОЛОСІЇВСЬКИЙ Р-Н, ВУЛИЦЯ БОЖЕНКА, 15, КОРП. 7",НАЦІОНАЛЬНА АКАДЕМІЯ НАУК УКРАЇНИ,UA-30,Київ,"Діяльність у сфері інжинірингу, геології та геодезії, надання послуг технічного консультування в цих",зареєстровано
05417511,NA,NA,ДЕРЖАВНЕ АВТОТРАНСПОРТНЕ ПІДПРИЄМСТВО ЕКСПЕДИЦІЙНИХ ТА СПЕЦІАЛЬНИХ АВТОМОБІЛІВ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ,"3142 М.КИЇВ, СВЯТОШИНСЬКИЙ Р-Н, ВУЛИЦЯ СТЕПАНЧЕНКА, 5",НАЦІОНАЛЬНА АКАДЕМІЯ НАУК УКРАЇНИ,UA-30,Київ,Інший пасажирський наземний транспорт,зареєстровано
05417549,71000248,2016-03-31,"ДП ""КНИГАРНЯ ""НАУКОВА ДУМКА"" НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ""","1001 М.КИЇВ, ПЕЧЕРСЬКИЙ Р-Н, ВУЛИЦЯ ГРУШЕВСЬКОГО, 4",НАЦІОНАЛЬНА АКАДЕМІЯ НАУК УКРАЇНИ,UA-30,Київ,Роздрібна торгівля книгами в спеціалізованих магазинах,зареєстровано
05417555,213483325,2016-07-31,ДЕРЖАВНЕ УПРАВЛІННЯ МАТЕРІАЛЬНО-ТЕХНІЧНОГО ЗАБЕЗПЕЧЕННЯ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ,"3142 М.КИЇВ, СВЯТОШИНСЬКИЙ Р-Н, БУЛЬВАР АКАДЕМІКА ВЕРНАДСЬКОГО, 34-Б",НАЦІОНАЛЬНА АКАДЕМІЯ НАУК УКРАЇНИ,UA-30,Київ,Дослідження й експериментальні розробки у сфері інших природничих і технічних наук,зареєстровано
05417561,NA,NA,"ДП ""НАУКОВО-ВИРОБНИЧЕ ПІДПРИЄМСТВО ""ВИДАВНИЦТВО ""НАУКОВА ДУМКА"" НАН УКРАЇНИ""","1601 М.КИЇВ, ШЕВЧЕНКІВСЬКИЙ Р-Н, ВУЛИЦЯ ТЕРЕЩЕНКІВСЬКА, 3",НАЦІОНАЛЬНА АКАДЕМІЯ НАУК УКРАЇНИ,UA-30,Київ,Видання книг,зареєстровано
05417615,NA,NA,"ПАНСІОНАТ ""РУСАНІВКА"" НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","2002 М.КИЇВ, ДНІПРОВСЬКИЙ Р-Н, ВУЛИЦЯ САДОВА, 17",НАЦІОНАЛЬНА АКАДЕМІЯ НАУК УКРАЇНИ,UA-30,Київ,Діяльність лікарняних закладів,зареєстровано
05417686,NA,NA,"ДП ""ДОСЛІДНЕ ВИРОБНИЦТВО ІНСТИТУТУ ХІМІЇ ВИСОКОМОЛЕКУЛЯРНИХ СПОЛУК НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ""","2160 М.КИЇВ, ДНІПРОВСЬКИЙ Р-Н, ВУЛИЦЯ ХАРКІВСЬКЕ ШОСЕ, 48",НАЦІОНАЛЬНА АКАДЕМІЯ НАУК УКРАЇНИ,UA-30,Київ,Дослідження й експериментальні розробки у сфері інших природничих і технічних наук,зареєстровано
05417779,NA,NA,"ДП ""ДОСЛІДНИЙ ЗАВОД ІНСТИТУТУ НАДТВЕРДИХ МАТЕРІАЛІВ ІМЕНІ В.М.БАКУЛЯ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ""","4074 М.КИЇВ, ОБОЛОНСЬКИЙ Р-Н, ВУЛИЦЯ АВТОЗАВОДСЬКА, 2",НАЦІОНАЛЬНА АКАДЕМІЯ НАУК УКРАЇНИ,UA-30,Київ,Дослідження й експериментальні розробки у сфері інших природничих і технічних наук,в стані припинення
05417785,NA,NA,"ДП ""ДОСЛІДНЕ ВИРОБНИЦТВО ІНСТИТУТУ МЕХАНІКИ ІМ. С.П.ТИМОШЕНКА НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ""","3057 М.КИЇВ, ШЕВЧЕНКІВСЬКИЙ Р-Н, ВУЛИЦЯ НЕСТЕРОВА, 3",НАЦІОНАЛЬНА АКАДЕМІЯ НАУК УКРАЇНИ,UA-30,Київ,Дослідження й експериментальні розробки у сфері інших природничих і технічних наук,зареєстровано
05417791,71942308,2016-03-31,ДЕРЖАВНЕ СПЕЦІАЛЬНЕ КОНСТРУКТОРСЬКО-ТЕХНОЛОГІЧНЕ БЮРО ФІЗИЧНОГО ПРИЛАДОБУДУВАННЯ З ДОСЛІДНИМ ВИРОБНИЦТВОМ ІНСТИТУТУ ФІЗИКИ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ,"3680 М.КИЇВ, ГОЛОСІЇВСЬКИЙ Р-Н, ПРОСПЕКТ НАУКИ, 46",НАЦІОНАЛЬНА АКАДЕМІЯ НАУК УКРАЇНИ,UA-30,Київ,Дослідження й експериментальні розробки у сфері інших природничих і технічних наук,зареєстровано
05417805,NA,NA,ДОСЛІДНЕ ВИРОБНИЦТВО ІНСТИТУТУ ОРГАНІЧНОЇ ХІМІЇ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ,"2660 М.КИЇВ, ДЕСНЯНСЬКИЙ Р-Н, ВУЛИЦЯ ЧЕРВОНОТКАЦЬКА, 60",НАЦІОНАЛЬНА АКАДЕМІЯ НАУК УКРАЇНИ,UA-30,Київ,Виробництво іншої хімічної продукції,зареєстровано
05417845,NA,NA,"ДП ""СПЕЦІАЛЬНЕ КОНСТРУКТОРСЬКО-ТЕХНОЛОГІЧНЕ БЮРО ІНСТИТУТУ ГІДРОМЕХАНІКИ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ""","3057 М.КИЇВ, ШЕВЧЕНКІВСЬКИЙ Р-Н, ВУЛИЦЯ ЖЕЛЯБОВА, 8/4",НАЦІОНАЛЬНА АКАДЕМІЯ НАУК УКРАЇНИ,UA-30,Київ,Дослідження й експериментальні розробки у сфері інших природничих і технічних наук,в стані припинення
05417851,NA,NA,"ДП ПО РАДІАЦІЙНІЙ ОБРОБЦІ МАТЕРІАЛІВ ""РАДМА"" ІНСТИТУТУ ФІЗИЧНОЇ ХІМІЇ ІМ.Л.В. ПИСАРЖЕВСЬКОГО НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ","3680 М.КИЇВ, ГОЛОСІЇВСЬКИЙ Р-Н, ПРОСПЕКТ НАУКИ, 31",НАЦІОНАЛЬНА АКАДЕМІЯ НАУК УКРАЇНИ,UA-30,Київ,Дослідження й експериментальні розробки у сфері інших природничих і технічних наук,зареєстровано
05418496,NA,NA,"ДП ""ЛУГИНСЬКЕ ДЕРЖАВНЕ ЛІСОГОСПОДАРСЬКЕ АГРОПРОМИСЛОВЕ ПІДПРИЄМСТВО ""ЛУГИНСЬКИЙ ДЕРЖЛІСГОСП АПК""","11301 ЖИТОМИРСЬКА ОБЛ., ЛУГИНСЬКИЙ Р-Н, СМТ ЛУГИНИ, ВУЛИЦЯ БАЗАРНА, 12А",ДЕРЖАВНЕ АГЕНТСТВО ЛІСОВИХ РЕСУРСІВ УКРАЇНИ,UA-18,Житомирська,Лісівництво та інша діяльність у лісовому господарстві,зареєстровано
05420617,NA,NA,"ДП ""НДЦ ІНФОРМАЦІЙНИХ ТЕХНОЛОГІЙ ІНСТИТУТУ ЕКОНОМІКИ ПРОМИСЛОВОСТІ НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ""","83048 М.ДОНЕЦЬК, КИЇВСЬКИЙ Р-Н, ВУЛИЦЯ УНІВЕРСИТЕТСЬКА, 77",НАЦІОНАЛЬНА АКАДЕМІЯ НАУК УКРАЇНИ,UA-14,ОРДЛО,Дослідження й експериментальні розробки у сфері суспільних і гуманітарних наук,зареєстровано
05421628,NA,NA,"ПАТ ""ПАВЛОГРАДСЬКЕ НАЛАГОДЖУВАЛЬНЕ УПРАВЛІННЯ""","51400 ДНІПРОПЕТРОВСЬКА ОБЛ., М.ПАВЛОГРАД, ВУЛИЦЯ ТЕРНІВСЬКА, 21",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-12,Дніпропетровська,Надання в оренду автомобілів і легкових автотранспортних засобів,зареєстровано
05422303,6413266,2016-03-31,СЛУЖБА АВТОМОБІЛЬНИХ ДОРІГ У ЧЕРКАСЬКІЙ ОБЛАСТІ,"18006 М.ЧЕРКАСИ, ПРИДНІПРОВСЬКИЙ Р-Н, БУЛЬВАР ШЕВЧЕНКА, 389",ДЕРЖАВНЕ АГЕНТСТВО АВТОМОБІЛЬНИХ ДОРІГ УКРАЇНИ,UA-71,Черкаська,Регулювання та сприяння ефективному веденню економічної діяльності,зареєстровано
05422987,NA,NA,"ДП ДОРОЖНЬОГО ЗВ'ЯЗКУ, ІНФОРМАЦІЙНОГО ЗАБЕЗПЕЧЕННЯ ТА АВТОМАТИКИ ""УКРДОРЗВ'ЯЗОК""","3179 М.КИЇВ, СВЯТОШИНСЬКИЙ Р-Н, ВУЛИЦЯ ЧАЛОГО, 3",ДЕРЖАВНЕ АГЕНТСТВО АВТОМОБІЛЬНИХ ДОРІГ УКРАЇНИ,UA-30,Київ,Будівництво споруд електропостачання та телекомунікацій,зареєстровано
05424822,NA,NA,"ДЕРЖАВНЕ ЛІСОПРОМИСЛОВЕ ПІДПРИЄМСТВО ""ПРИКАРПАТЛІС""","76019 М.ІВАНО-ФРАНКІВСЬК, ВУЛИЦЯ ВАСИЛІЯНОК, 48",МІНІСТЕРСТВО ЕКОНОМІЧНОГО РОЗВИТКУ І ТОРГІВЛІ УКРАЇНИ,UA-26,Івано-Франківська,Лісопильне та стругальне виробництво,зареєстровано
05427223,NA,NA,"ДП ""ІНФОРМАЦІЙНО-ОБЧИСЛЮВАНИЙ ЦЕНТР ""АСУМОНТАЖ""","4655 М.КИЇВ, ОБОЛОНСЬКИЙ Р-Н, ВУЛИЦЯ ВІКЕНТІЯ ХВОЙКИ, 21","УКРАЇНСЬКА ДЕРЖАВНА КОРПОРАЦІЯ ПО ВИКОНАННЮ МОНТАЖНИХ І СПЕЦІАЛЬНИХ БУДІВЕЛЬНИХ РОБІТ ""УКРМОНТАЖСПЕЦБУД""",UA-30,Київ,Комп'ютерне програмування,зареєстровано
05427803,NA,NA,"ВАТ ""ЧЕРВОНОГРАДСЬКЕ ПРОЕКТНО-КОНСТРУКТОРСЬКЕ БЮРО""","80100 ЛЬВІВСЬКА ОБЛ., М.ЧЕРВОНОГРАД, ВУЛИЦЯ ВАСИЛЯ СТУСА, 23",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-46,Львівська,NA,в стані припинення
05427826,NA,NA,"ДП ""ЧЕРВОНОГРАДСЬКЕ ШАХТНЕ РЕМОНТНО-БУДІВЕЛЬНЕ УПРАВЛІННЯ""","80100 ЛЬВІВСЬКА ОБЛ., М.ЧЕРВОНОГРАД, ВУЛИЦЯ ПРОМИСЛОВА, 3А",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-46,Львівська,Будівництво житлових і нежитлових будівель,зареєстровано
05427849,NA,NA,"ДВАТ ""ВУЗОЛ ВИРОБНИЧО-ТЕХНОЛОГІЧНОГО ЗВ'ЯЗКУ"" - ДОЧІРНЕ ПІДПРИЄМСТВО ДХК ""ОЛЕКСАНДРІЯВУГІЛЛЯ""","КІРОВОГРАДСЬКА ОБЛАСТЬ,М. ОЛЕКСАНДРІЯ, ПР. ЛЕНІНА, 48",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-35,Кіровоградська,Діяльність у сфері проводового електрозв'язку,припинено
05427855,NA,NA,"ДВАТ ""ОЛЕКСАНДРІЙСЬКА АВТОБАЗА"" - ДОЧІРНЕ ПІДПРИЄМСТВО ДХК ""ОЛЕКСАНДРІЯВУГІЛЛЯ""","КІРОВОГРАДСЬКА ОБЛАСТЬ,                                М. ОЛЕКСАНДРІЯ, ВУЛ. КОВАЛЕНКА, 35",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-35,Кіровоградська,NA,в стані припинення
05427938,NA,NA,"ПАТ ""СТАХАНОВСЬКИЙ ВУЗОЛ ВИРОБНИЧО-ТЕХНОЛОГИЧНОГО ЗВ'ЯЗКУ""","94005 ЛУГАНСЬКА ОБЛ., М.СТАХАНОВ, ВУЛИЦЯ ЛЕНІНА, 3",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-09,ОРДЛО,Діяльність у сфері проводового електрозв'язку,зареєстровано
05428041,NA,NA,"ДВАТ УМТЗЗП ""ДОНЕЦЬКВУГЛЕЗБАГАЧЕННЯ""","83004 М.ДОНЕЦЬК, КИЇВСЬКИЙ Р-Н, ВУЛИЦЯ ГАРАЖНА, 41",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-14,ОРДЛО,Складське господарство,зареєстровано
05428106,NA,NA,"ВАТ ""ПРОЕКТНО-ТЕХНОЛОГІЧНИЙ ТРЕСТ"" ""ОРТЕХШАХТОБУД"" - ДОЧІРНЕ ПІДПРИЄМСТВО ДХК ""ДОНБАСШАХТОБУД""","М. ДОНЕЦЬК, БУЛЬВАР ШЕВЧЕНКО, 133",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-14,ОРДЛО,NA,в стані припинення
05428286,NA,NA,"ДП ""ВСЕУКРАЇНСЬКЕ ДЕРЖАВНЕ СПЕЦІАЛІЗОВАНЕ ВИДАВНИЦТВО ""УКРАЇНСЬКА ЕНЦИКЛОПЕДІЯ"" ІМЕНІ М.П.БАЖАНА""","1030 М.КИЇВ, ШЕВЧЕНКІВСЬКИЙ Р-Н, ВУЛИЦЯ БОГДАНА ХМЕЛЬНИЦЬКОГО, 51-А",ДЕРЖАВНИЙ КОМІТЕТ ТЕЛЕБАЧЕННЯ І РАДІОМОВЛЕННЯ УКРАЇНИ,UA-30,Київ,Видання книг,в стані припинення
05430811,7629099,2016-03-31,"""НОВОУШИЦЬКЕ ЛІСОВЕ ГОСПОДАРСТВО""","32600 ХМЕЛЬНИЦЬКА ОБЛ., НОВОУШИЦЬКИЙ Р-Н, СМТ НОВА УШИЦЯ, ВУЛИЦЯ ГАГАРІНА, 72",ДЕРЖАВНЕ АГЕНТСТВО ЛІСОВИХ РЕСУРСІВ УКРАЇНИ,UA-68,Хмельницька,Лісівництво та інша діяльність у лісовому господарстві,зареєстровано
05431414,NA,NA,"ДП ""СЕВАСТОПОЛЬСЬКИЙ ВИНОРОБНИЙ ЗАВОД""","99009 М.СЕВАСТОПОЛЬ, НАХІМОВСЬКИЙ Р-Н, ВУЛИЦЯ ПОРТОВА, 8",МІНІСТЕРСТВО АГРАРНОЇ ПОЛІТИКИ ТА ПРОДОВОЛЬСТВА УКРАЇНИ,UA-40,Севастополь,Виробництво виноградних вин,зареєстровано
05432193,11843112,2016-03-31,"ДП ""БЕРДЯНСЬКЕ ЛІСОВЕ ГОСПОДАРСТВО""","71154 ЗАПОРІЗЬКА ОБЛ., БЕРДЯНСЬКИЙ Р-Н, С.ЛУНАЧАРСЬКЕ, ВУЛИЦЯ ГАГАРІНА, 106",ДЕРЖАВНЕ АГЕНТСТВО ЛІСОВИХ РЕСУРСІВ УКРАЇНИ,UA-23,Запорізька,"Вирощування зернових культур (крім рису), бобових культур і насіння олійних культур",зареєстровано
05432307,NA,NA,"ВАТ ""ДОНЕЦЬКШАХТОБУД""","83000 М.ДОНЕЦЬК, ВОРОШИЛОВСЬКИЙ Р-Н, ВУЛИЦЯ ПОСТИШЕВА, 117",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-14,ОРДЛО,Інші спеціалізовані будівельні роботи,в стані припинення
05446858,NA,NA,"ДП ""ПЕРВОМАЙСЬКИЙ ВИНОРОБНИЙ ЗАВОД""","97520 АВТОНОМНА РЕСПУБЛІКА КРИМ, СІМФЕРОПОЛЬСЬКИЙ Р-Н, С.ПЕРВОМАЙСЬКЕ, ВУЛИЦЯ ДЯЧЕНКА, 5",МІНІСТЕРСТВО АГРАРНОЇ ПОЛІТИКИ ТА ПРОДОВОЛЬСТВА АВТОНОМНОЇ РЕСПУБЛІКИ КРИМ,UA-43,АР Крим,"Дистиляція, ректифікація та змішування спиртних напоїв",зареєстровано
05447444,71486179,2016-03-31,"ДП ""ДОСЛІДНИЙ ЗАВОД ЗВАРЮВАЛЬНИХ МАТЕРІАЛІВ ІНСТИТУТУ ЕЛЕКТРОЗВАРЮВАННЯ ІМ.Є.О.ПАТОНА НАЦІОНАЛЬНОЇ АКАДЕМІЇ НАУК УКРАЇНИ""","4112 М.КИЇВ, ШЕВЧЕНКІВСЬКИЙ Р-Н, ВУЛИЦЯ ОЛЕНИ ТЕЛІГИ, 2",НАЦІОНАЛЬНА АКАДЕМІЯ НАУК УКРАЇНИ,UA-30,Київ,"Виробництво виробів із дроту, ланцюгів і пружин",зареєстровано
